subbasin,year,area_ha,avg_water_m3,avg_flow_liter_s,avg_water_m3_wip,avg_flow_liter_s_wip,avg_flow_liter_s_wip_vector,avg_flow_liter_s_wip_pct,avg_tn_kg,avg_tp_kg,avg_tsed_kg,avg_nitrate_kg,avg_dissolved_p_kg,avg_tn_kg_wip,avg_tp_kg_wip,avg_tsed_kg_wip,avg_nitrate_kg_wip,avg_dissolved_p_kg_wip,avg_tn_kg_wip_vector,avg_tp_kg_wip_vector,avg_tsed_kg_wip_vector,avg_nitrate_kg_wip_vector,avg_dissolved_p_kg_wip_vector,avg_tn_wip_pct,avg_tp_wip_pct,avg_tsed_wip_pct,avg_nitrate_wip_pct,avg_dissolved_p_wip_pct
1,2010,9601.8,3197951.667,1233.776667,3178859.966,1226.413333,-7.364166667,-0.68,6994.110833,839.3575,305657.3,11846.48667,19347.69833,4618.466667,440.8808333,170431.95,11775.76167,13121.83917,-2375.645,-398.475,-135225.35,-70.72083333,-6225.859167,-31.35166667,-49.28916667,-45.67166667,-0.68,-30.86166667
1,2011,9601.8,5664829.917,2185.505833,5660965.333,2184.014167,-1.49,-0.061666667,14709.15833,1633.105,645721.05,20984.78583,24400.475,10782.8225,994.5875,350465.7,20970.46833,18046.55583,-3926.335833,-638.5191667,-295255.35,-14.315,-6353.921667,-26.32166667,-35.84833333,-42.10666667,-0.061666667,-26.31416667
1,2012,9601.8,3817795.833,1472.915,3814715.083,1471.726667,-1.188333333,-0.0025,19511.6575,1394.661667,374470.2,14142.63583,50284.2875,14698.75583,776.9458333,201637.8,14131.2225,38291.30583,-4812.900833,-617.715,-172832.4,-11.41083333,-11992.9825,-24.915,-46.705,-48.1,-0.0025,-24.92416667
1,2013,9601.8,3575630.167,1379.4875,3588408.75,1384.416667,4.93,0.134166667,10297.13,922.5733333,284853.4,13245.55833,25802.17,8379.971667,649.7208333,208839.15,13292.89583,20403.36167,-1917.159167,-272.8516667,-76014.25,47.33666667,-5398.8075,-21.43583333,-42.83333333,-39.55416667,0.134166667,-21.64083333
1,2014,9601.8,4027859,1553.9575,4031155.75,1555.230833,1.271666667,-0.0825,10123.49833,1250.635,384872.15,14920.7925,22703.79583,7760.653333,852.9616667,235244.1,14933.00583,16985.70417,-2362.8425,-397.6733333,-149628.05,12.21083333,-5718.090833,-26.53166667,-48.20916667,-54.41333333,-0.0825,-26.50833333
2,2010,27.12,9053.833333,3.493333333,9055.416667,3.494166667,0,0.003333333,6.626666667,0.3625,368.38,0.095,19.09916667,6.25,0.371666667,372.9,0.095,18.05583333,-0.380833333,0.01,4.52,0,-1.043333333,-5.2675,6.2425,2.038333333,0.003333333,-5.2725
2,2011,27.12,16234.33333,6.263333333,16226,6.259166667,-0.003333333,-0.06,15.62583333,0.658333333,531.1,0.169166667,25.59833333,13.69916667,0.653333333,533.36,0.169166667,22.62833333,-1.925833333,-0.003333333,2.26,0,-2.969166667,-11.515,0.245,-0.191666667,-0.06,-11.46416667
2,2012,27.12,11326.08333,4.368333333,11321.5,4.3675,-0.001666667,-0.013333333,47.58916667,2.354166667,700.6,0.1175,121.8683333,37.73916667,1.3025,501.72,0.1175,97.23416667,-9.85,-1.0525,-198.88,0,-24.63333333,-19.54833333,-50.22083333,-24.65833333,-0.013333333,-19.54083333
2,2013,27.12,10736.5,4.140833333,10729.25,4.14,-0.0025,-0.1625,22.60666667,1.370833333,598.9,0.113333333,53.76333333,18.86083333,0.7675,438.44,0.113333333,44.74916667,-3.748333333,-0.604166667,-160.46,0,-9.013333333,-16.8425,-50.22166667,-26.5225,-0.1625,-16.7175
2,2014,27.12,11946,4.608333333,11930.66667,4.6025,-0.005833333,-0.2,16.81083333,1.9275,777.44,0.125,37.2225,13.62333333,1.3025,549.18,0.123333333,30.1575,-3.185833333,-0.625833333,-228.26,0,-7.065,-19.22583333,-47.2025,-28.81083333,-0.2,-19.06833333
